Iterate [333]: time: 64.9730, d_loss: 1.43853545, g_loss: 7.57052660
Iterate [334]: time: 65.1567, d_loss: 1.57572448, g_loss: 10.60023499
Iterate [335]: time: 65.3408, d_loss: 1.08594716, g_loss: 7.53468323
Iterate [336]: time: 65.5249, d_loss: 1.12846601, g_loss: 5.62192440
Iterate [337]: time: 65.7093, d_loss: 1.22468019, g_loss: 5.51542425
Iterate [338]: time: 65.8937, d_loss: 1.34911513, g_loss: 4.74932718
Iterate [339]: time: 66.0783, d_loss: 1.31284428, g_loss: 6.85783100
Iterate [340]: time: 66.2625, d_loss: 1.12318921, g_loss: 5.21918440
Iterate [341]: time: 66.4467, d_loss: 1.11274266, g_loss: 5.32622623
Iterate [342]: time: 66.6310, d_loss: 1.44270563, g_loss: 5.04891443
Iterate [343]: time: 66.8154, d_loss: 0.97516191, g_loss: 5.29407406
Iterate [344]: time: 66.9995, d_loss: 1.13280797, g_loss: 5.93968630
Iterate [345]: time: 67.1835, d_loss: 0.81185949, g_loss: 6.18089199
Iterate [346]: time: 67.3680, d_loss: 1.12607050, g_loss: 5.65859461
Iterate [347]: time: 67.5520, d_loss: 1.08484972, g_loss: 12.56328201
Iterate [348]: time: 67.7359, d_loss: 1.14824390, g_loss: 16.49945641
Iterate [349]: time: 67.9202, d_loss: 1.02752590, g_loss: 6.08966160
